name	restricted	barcode
Risperidone	1	1040e9b92f805c7fe0270a77b2413f349f9b86a2df8140451b0e95eb47a773dd
Childrens Delsym	1	52c77c82cfb9c9a5a9cad31c6c12280827d0ca0d1a31ccb4b17bf7121ecf1a99
YS Solution Intensive AC Care	1	82367df9d7f3fdb5cfa52ad744a5299beb37d647a176993e1a232e9a0c5fc600
APTIDINE	1	67833c69e3075c6e8ae8f5c4382fa310fa781fc0da34028d55d6ffb12650139c
PDI Sani-Hands ALC	1	1e140e39a2f1c18b20ac87434c874fff16a37a8816e699533a17d10820583f2d
Ramipril	1	1b800b10161efb70878692a4ddc170df191a8ccf7fbf9fc481aa53d5ab866f14
Aspirin	1	16a930df15ddb8aea74a664ad7338fb843ba1a0e128cb89e77fcc834ddbfc272
LBEL divine lip gloss SPF 15	1	88a37bc6cc60a697daf1d779994c4f4a8567e025a18c7f33a8e579b7fc3ec80b
CARBON DIOXIDE	1	6301e4f24f0828bd96f290ad20c3e53ea7a1a11854b01e0bff687971c14d68da
Verelan	1	d1972840452c4e5f7626bf9988f9e9c4a9e1157c8b89ada2abb9fec5898b6928
